Contexte gauche,Chaîne,Contexte droit
A@@@@@@@@@@U@@@@@@@@,l U NIV E ,R@@@IO@@@L@@@@@@@@ o
@IO@@@L@@@@@@@@ or@ ,OX F O RD ,The@ Elix@i@@@@r@ of
e@ Elix@i@@@@r@ of L,he collect,if@@@e@@ W@@@@@@@@@@
@@@@@@@@@@if@@@e@@ W,y the Bodle,i@@@@@@@@@@@@@@@@@@@
@@@e@@ W@@@@@@@@@@@i,an Libraries and scanned by Goog,l@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@l,"e, Inc. for the Goog",l@@@@@@@@@i@@am@ Ha@
r@@@r@@is@o@@@@@@n A,ee: http:l/www.bodle,i@n@@@@@@@@@@@@@@s@@
@@@@@@@@@@@@@@@@@i@n,.ox.ac.ukdbook,s@@@@@@@@@wor@@@@@@@
@@@@@@@s@@@@@@@@@wor,k is licensed under a Crea,th@@ W@@@@@@@@@@@i@@
@@@@@@@@@@@@@@th@@ W,ommons Attr,i@@t@@@@@@@@@@@@@@@@
h@@ W@@@@@@@@@@@i@@t,ion-NonCommercialS,h@@@@@@@@ I@@@@@@@@@
@@@@@@@@@h@@@@@@@@ I,.0 UK: Eng,l@@@@@@@@lus@@@@@@@@
@@@@@@@@l@@@@@@@@lus, (CC BY-NC-SA 2.0) licence. -. .AS'a . 5 ],t@@@@@@@@@@@@@@@@r@a
@@@@@@@@@@@@@@@@@@@t, . s as oly inte,r@a@ti@@@@@@@on@@@@@
@@@@@r@a@ti@@@@@@@on,: LEWIS ARUNDEL. By F. SzoL,s@ b@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@s@ b,ARRY CONVERDALE'S COURTFRANR FAIRLEGH. B,y@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@y, F. SEoLEx. WVINDSOR CASTLE. By W., H. @@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@ H. ,"AswoTHR. GUY FAWRES. Tne MIsER'S DAUGHTER.,, JAC",K@@@@@@@@@. B@@@@@@@
@@@@@@@K@@@@@@@@@. B,ERVYN CLITHEROE. ROOROOD. ,ro@@@@@@@@@@w@@@ne@@
@@@@@@@@@@@@@@@@@@ro,e LAcasrE ,w@@@ne@@@ @@@@@@@@P@
@w@@@ne@@@ @@@@@@@@P,"AULS. CON CREGAN. By Canes LnvzR. TOM BURRE. HARRY LORREOUER. ,, HANDY ANDY. By SAwusL LovsR. CAN YOU FORGIVE HER By As",rol@@o@@@@@@@@@@@@@@
@@@@@@@@@@@@@@rol@@o,LLor. IIIII 2 3 . .. A. .5 . -ii sx; . t. :. P,g@u@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@g@u,i5 R:32 'a R rA h I g,e@ @@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@e@ ,"L. :. . ,, . .: .e E : :e oN E t , . ",1@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@1," 2-: 3 . : -. LL. ei i , L 4s 1 A VMh : . h ",5@9@9@@@ D@@@@@@@@@@
@@@@@@@@@@5@9@9@@@ D," I --:: YI . 1I K : . 1I , :. 1 ---: ,.. 5 2: GI a",r@@. @@@@L@@a@@@@@@@
@@@@@@@r@@. @@@@L@@a,"s O : x: L.eAS -. ; s .. :. n ..:it. ::.: t,.:' .Z: :. ... S Ne W i l. -g i . r. , a3y.. -3 . ",mb@ @@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@mb@ ,". i1 : . ,, YCl IC - xrLL. LLLILLm Ar& i g :.s i I. e.: e . L I eg , A,. Li M. N -C :. a -.:... A . + s: II ]--;--' L1 GH 4 A. 1 s en ",T@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@T,". 1 7 e i t I g x i t e Si.2 3r M] -X r s c e.. ' es kb e t :.:e.. r iRea, . 1 ., a s mc . .I. e . , ..: r .. .' ,.e e A :). . I. ., t. J.I. .'.x. se' -::-. ",h@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@h,-. . . :. W: ' . .. t x .. ,e@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@e,". -' ,. ./ 3AURIOL THE ELIxIR OF LIFE w. aaso Aswor. Eea t. E 5. a4. 'y d o e 7--LIST OF ILLUSTRATIONS. THE MYSTERIOUs IMTERVIEW IN HYDE PARK Tl. o THE RUINED HOUSE IN THE VAUXHALL ROAD. 3 THE BARBER OF LONDON. sEIZURE OF EBBAo THE ANTIQUARIES -ss ..6o ..66 95 Ie3 -.7 ..as .1335 ..68 ROUGEMONT3 DEVICE TO PERPLEX AURIOL . .9I T T A U R I O L. preIiogue-16o. TuE", Sixteenth Century d
brown bowls dressed ,---------------------DR. LAND. ,with ribands and ros
d with his halberd. ,DR. LAMIB. ,The plunderer uttere
rer. “They were near, l---AIoI., kinsmen of mine own
"den bench, and held ",DB. LAMD. ,"a lamp towards him, "
"de, and lean on me,”",' DB. LAMD., said Baldred. “Doct
@ said Baldred. “The, 10 AB:OL., youth will die if h
nning the fire with ,DnB. LAB. 13 ,its wings; and the o
s@!—’tis a glorious ,14 AIIOL. ,thought! Ha! I bethi
"e young man, raising", DR. LAB. 15, himself on his elbo
words! How @I gazed ,16 AURIO. ,at the mystic charac
ly; and I understand, --DR. AB.," leechcraft so well,"
"opened its eyes, and"," . E. t 1 w. B, 1 L 2 L t a. -ss Q. 'A A 54 AYC. 5. I. ' '. t-.i ' g IE si --i A m t .TI iA I wi. f. y 1I gs N . L L et-a1 kt .5 : w I t I -.-d:. i..C M1 T II IIIl k I] , -. R. 1 W 2 1 Ge l1 L3 r : 2:. Ae-t sg :LL LR n 1 1 f A g 's i i , . s 'r. e ,. W r--------a hr liir ui tu lHc H i 545 t AL5-- 1.. 1 r;I . 2 1 I, iIk i.A: Ls.g eg ,l :. N I ( s5r Gl -1. G i ,N Ht rb -ia-' a% . s .G 'h DRB. LAMB."," fixed them, with a "
 like a silver bel@t,EIE BUAED RODBE IN TIE YAUXRALL-oAD. 25]," across the stream, "
 a very tumble-down ,TIIE RODED ROUSE I TRE YAUXHAILL-OAD. 27 ,condition. These neg
—“@@He’s here@!”@ “V,E RDD OUBE TRE YAUXHALL-ROAD. 29] ,here@—@@@vhere@?”@ d
"e Sandman, his teeth","] ts. l W II 1I 111 1T 4 i II 1 . A' i i' e . i i ' iii -=s g L ee a .s. , sai4 IIs s: 3 Q ,t s. sig. gA sn:i I . e, i g ai ' ta a . is . ' ett 3Ai Rh At . ee 3 h :5 ., ezg A [-30 ARIOL.", chattering with app
nce@ was even p@aler," 1 1 1 a(' 1 .n N -, 1, . h : : 1 . 1 I 2 xAi t.LI . 3' A.. 1 I1 Y. rea I 2A c 3 t'. s.1 C XNx 3 .a ' 1 . E ' . :s : a.icc I iiae 0Hl F' r.. 1I. ;g 3 .I Y ..P v V 5Dl T t, a D a 3 3-+LE i.L L 2E. = rr. C 1 :: .U I 1 r . . n 1. a i Y :.. F, : .A -aA -G c M .' P 2ZE 11 li2 I` I. i3 1A. 3 N .L -a s Pk: Yx :. . L : eL-L. l'h . s-: I . : 1 1 N N a -.: t It r t : xg . 2 . . e2IF k ,. :a 11 51 LW at T N 5-: --..-- ieFcr -Neg , 2 G-i' L a t rr t E 3rE BUED OBE TS YAXALL-BOAD. 31", than before. Hav@in
ethin’ dreadful was ,rnE OLED ROUSE IN THEE YAXALL-ROAD. 33 ,goin’ on. It was for
ny attempt to track ,p 2 7-36 ARIOL. ,these labyrinths; bu
"tch of another door,", TEE DOG-FANCIER. 87, entered a sort of k
icular vocation was ,38 AnIoL. ,made manifest by the
ble to control his c,"E., 2Llarr 3 i1 : . 1 . .,-. . ., 5II :s l n -3 1l. I I . -= LI . i 11 . E 11 F.1 1 . 1 Y 1I, 3 3 A2 . I 2 t. n 1A' H 1 I 1 II. :iA 5. Za . x i : A: I if z A (. 1I 11I I1A. II l 1 II 11I s. s- II 1:1I =-I n 1 I Yd 1 I . Wa YII 5 II E y)1 Lt ze3 i 1I i: i 1 i. 1 1:. r 2I. 1E 3 l.a C g; sEx. 2 -e n. s cL--1 i1 T 1 II I a 2 s I]:1 :l ,Ii 12IIl IIll -MI NC1 5N y I : 1 . tl II tiil .Y LALF ag I.II AI L. 3,. 1M1 1 1I i a11 115 I: zMiII :. - . II I ]1i M LE",ur@@@i@@@@@@@@@@@@@@
@@@@@@@@@@@@@@ur@@@i," WL I . i--G rIl. IMI1 L1 13 7 , -e:, ;I11II..:.7. ti ;-.-. :1I I .-.:. l: k. n .f -.L TRE DOG-FANCIER. enri","osity longer, and ta"
", unable to contain ",1 . 40 ARIOL. ,his satisfaction; “@
t neither. I looked ,TEE DOG-FANCIEB. ,over the papers twic
o the pocket@@@@@@@-,FANCIER. -43 ,"book, as I deals vit"
"wait, sayin’ better ",----1 44 ADBIOL. ,terms will be offere
erved the Sandman. “,IE DOG-FANCIER. 43 t ,"Sartin,” replied Gin"
s by vith this here ,46 AUnIoL. ,dog—an’ a beauty it 
’t hurt you. There’s," lau againha, la1'' Dog-fancier's"," law again—ha, ha!” "
 have him at last. V,IIE D0G-FANCIER. 47 W,e feels our vay with
 so surprisin’ as it, LLLLLLLLLLLmmm 48 AURIOL., at first appears. T
 of a cast-off pair ,--------50 AURIOL. ,"of tawny tights, an "
"ers, ranged like the", LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm THE IAND AND TEE CLOAS. 51, feet of so many cat
ned. “I’ve seen this, r2 LLLLLLLLLLL 52 AURIOL., great city of Londo
"r to ply,”@ chanted ",TIIE HAND AND TIIE CLOAH. ,the Tink@er; “@@but 
e bucket@?”@ “@@@@@N,D AND TRE CLOAK. 55 N,"ot the least,”@ repl"
n London Bridge. I h,HE RAND AND THE OLOAK. ,elped@ to convey him
", emitted precisely ",mm 58 ARIOL. ,the same odour as th
ired of the dwarf. “,LLLLLLLLLLL -------- ,Never@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@Never,",' TL HAND AND THE OLOAK",.” “Do you happen to
 at all events @@@@t,"I e,, ---. 1 t.. w 1 3. i=iia z: I .N g mA ",h@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@h," -I Y ' N w M. Ih IJ L L M . g-a' 1 = . Y L H3 isik H1 I N 1 . i. 1. E II 1 gg .. 9 . ..-: . v' ' , L.-:. ] x A I. ,] M1 g a4 : E . . ,lM tN l L 5z: ,:i l tE--,? . --1 = .s-. 7' G. i' : rI .- rg -.----,. -` L1 WC. == LL-s tJl fla a W. rE t W , z 1F ""u--`i a r.t f '. 1 1. ",e@@@@ @@@@@@@@@@@@@@
@@@@@@@@@@@@@@e@@@@ ,:II i. s7 t TRE AND AD TEE CLOA. --------the ,pocket-book@!” cried
 to the lower room. ,- TIE IRON-IER,Chapte@r@@@@@@@@@ 4@
 smith. Beyond this ,TEE IRON-AERCANT's DAUGTE. G5 ,was an open doorway 
n a sombre tone. “@W, m a L g i: L rIot . TIE IRON-IEnCmAT's DAUGTEB. 067 w,"ho and what is he, t"
that it is stranger ,LLLLLLLLLLLLLLLILILILLLLLLLLLLLLLLL TE IRON XEnCANR's DUGRTER. 69 ,and wilder than any 
lied Auriol. “@@@@@T,ING NEAR TEE STATUE. 71 T,hat girl must be the
. He@ also remarked ,LL TE EETING NEAR TIE sTATOE. 73 ,that a rope was twis
 to the presence of ,zczc:z:::: ,"th@ose around him, A"
ers chafed his hands, LLLLLLLLLLIL ALIOL,. These efforts were
ol@ evasively. “@@@I,EETING NEAn TIE sTATUE. 75 tI, was thrown into the
place of rendezvous., -76 ARIOL.," Arrived there, he l"
read my vengeance@!”,' HRR CIARLES TIIE SECUND SPANIEL. 77," And, enveloping him"
" Haven’t you, Ebba?”",' I -78 AIIOL., The young lady made
anger. It was nearly, -------- TRE CIARLEsS TIE sECOND SPAMNIEL.79," dark, but the light"
"hers under his arm, ",TEE CIARLEs TRE SECOND sPANIED. 81 ,others again in his 
 hanimal; but I can ,THIE CEARLE8 TIE sECOND SFANIED. 83 ,"tell you, it’s cheap"
our sveet’art—I can ,a l AURIOD. ,tell these things in
don’t buy it.”@ “@@T,E CIARLEs TRE BECOND SPANRIEL. 85 T,he bargain’s conclud
"e,”@ cried Auriol. “",---AnIoL. ee ,"No, you von’t, sir—n"
@ demanded Auriol. “,"mLLLLLLLLLLLILLLLLLLLmmLLLLLLLLLLLLLLLLLLLLLm TIE AND, AAINI 87 e ",You shall lea@rn pre
”@ replied Auriol. “,E BARDBE OF LODON. 4 ,"You will,”@ rejoined"
care of Mr. Tuffnell, LII 2 ALDIOL., Trigge. Not only wi
ce West End hair-@cu, BARBEB OF LONDON. en,tting establishments
 Trigge bowed to the," Ee,--E+a5 , . 1 I1 ""E 11 .. S -L1 :Il i Lk l 1 : . a .i ( Il: 4I 1. II s e L IL -c... `. c =..E--. L5---,za.:a.: -----E2 t r , 1 e42. L 3-?-.-, -. K . pF .AC Y 1( ( .. z 5 . G-' --.--fL.Ps .7-------LL-' -EL- :-kg L ) -,= III I -' , W . MnI 3I A i. x L2. 2 rf .3--- s "" 1?. i.= Y5 t l'.I M .. .. R: p :L----=---- G hr :gA L-:=3. ie-. TnIE DADER OF ONDON. 95", sour-looking gentle
an they are now.”@ “,TIIE BARBER OP LONDON. ,Ha! indeed!”@ said T
together. Cha@pte@r ,TIE InST QUABTER. ,9@ @@@@The Moon in t
"p it, rest assured@,", 2 LLLLLLLLLLLLLLLmLLLLLLLLLmmmm 100. AURIOIL.," sweet Ebba,”@ he re"
less you aid me.”@ “,LLLLLLLLLLL rE oON ,I’@@@@@m@@@@@@@@@@@@
@@@@@@@@@@@@I’@@@@@m,RST QUARTER. 101 'm," glad to hear it,”@ "
ground. With this a ,101 ARIOL. ,"plank communicated, "
quit this place.”@ “,"p i -. . si . . 1 I 1-:LY :. L P4t AtL' tti 5,3 s; I; ---'L A , 1 1I FI .-l .1 I I 11 Ry x. i .s: 3. :i-3i . .. aA.7 Nt r a L.: h F. .a' . s 1I L l MII cL ''a c :.r. l'""L I AI MNl z :2I. G -5-. 5. . c:.. 1 I f I ::75 .: 5 A 3..iI e -.-..: : -f ai ;. -. te , , EE' 1L LP rA t I 1 . 1 1 1 ':; : : s '.- rEE IoOON IN TE FIRBT OUARTER 103 ","Come, then,”@ said A"
" is, M@orse!”@ cried", TRE BTATUE AT CIAING-CBOS8. 105," Loftus, gazing at i"
"vow his principles, ",106 AIoL. ,determined to preser
l @more closely.”@ W,"ee-;x M I 1 . 1I. I t l nY --. L p' ? -a 1 C hA' y; : -C2 -. 9 :. da.l -`.: C [ : n ' lg P, .. .3 II (",i@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@i,"fi 2 a. M' I z E .L P -i .- J 1 ' : . ; SiLL ., r 52 r -'1 yC . 1-, 1-",t@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@t,"lil'' 3I. :1 I g1 I tl 1 Y 1 y XE L r 1 A Ye L A 2 Y5 t t EG -L 11I? : aAAY eL ( [ . . 3 .Y e , II t 95 A' i- k-: ' . .N eel L1 a ' 1 g 5 Y A;. U . ' EIkA-. IeJ:M L L--zrs P% 2P? 7-A --i c-E-- L a:L -L L. LK ais TEE STATUE AT CIAING-CRBOss. 107 W",h this@ he crossed o
all means@ by-and-by,'' 108 AUIODL,".” “Plesh ma ‘art,”@"
ble antiquaries.”@ “,RE STATUE AT CIIAING-CR,"O@@@@@@@@@h, they’re"
 given it to a stone,",'' 110 AIIOL",.” “This may be all 
culiar circumstances,",'' ]-----------TEE sTATUE AT CAING-cnOSs",.@”@@ “I never heard
elveteen jacket with, 112 ARIOL.," ivory b@uttons, who"
ried Thorneycroft. “, TEE BTATUE A OLARI,"N@@@@@@@@@@@@@@@o, h"
@@@@@@@@@@@@@@@@@@@N,G-CO8s. 113 4 N,"o, he’s as much a wi"
oed the Tinker. “Ve’,ATIONB. 115 W',re about to risk our
” said Thorney@croft, 116 AURIOL,. “@I will tell you 
ate Mr. Thorneycroft, L PBEPARATIONS. 117, heard the Tinker an
ng out his pistols. ,-------18 AURIOL. ,The others drew thei
pened. Having passed, TIE CAMIBER O YBTEnY. 119," through it, she was"
tstretched wings. In, 120 AUn1OL., this lamp wer@e sev
p suddenly fell upon," LLILmIL bs' . 2a- s: I G gg -: ,e. 4 -Ea aI eg si :I 1 1 k -A E L F 1 . g ei .a 2I 2-.. -. ,t g ti Pa , 'x xL----. t - :Lr . . . r -. le I. E = TEE CIIAMBEB OF MYSTEBYR. 121"," the lamp, and the c"
the reflection of a ,12 AURIOL. ,gigantic figure upon
ragged forth from it, ------TIIE CIAMIBEB OF ISTEY. 123, by two masked perso
spair. “Is it you?” ,1A AU1OL. ,The figure bowed its
", were loosened, and", LI 120 AUnIOL., quaked beneath the 
thus addressed it: “,nE TOYB OF TIE OSICRUCIA. 127 ,"Dost hear me, old an"
", gentle as that of ",LLLLmmmLLLLLLLLLLILm ,t@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@t, g . 3 73. : : J 1 s. L=2 cy 1.r1 . r 2L :I -M.1 s9 I R -Ll 5 4.. t . L7. x-. N I U : -tka..:.: zz r -L t 5r.. . G W .. .-I. 7L. .6s . . . :': -' . 7 R .rc-. aaF-'1,h@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@h,"IG:1 iI L -,. .g L. I I -. 2Z l Ls-L.2Z-. . Al N ",e@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@e,"=FLnl . t .: 3.. I t . e r L a; .:e ' ""i THE TOMB OoF TEE ROS1OBOOLAN. 129 the"," moon, around. This,"
"es, squares, and dia", 5----.l 130 ARIOIL. ,"grams, and in some p"
d upon one page@ the, TRE TOYIB OF TIE OSICRCCIAN. 131, import of which he 
t men in London.”@ “,EE CONPACT. 133 ,Spare your insulting
ttle and a goblet. “,3A ARIOL. ,Taste this wine—it h
this house without t," ss .e% ) 1 :. 15 Y i--. . E, 2' : .c 2: n 1 + 2 ae1 :. I :3l :; :H , H : E --L c x 2O er .. 1 : . ::a ses: : ZC g .. - = 1 . N: . aAd i: .g I . 2: 8s. . ett. x2 E ZZ :1 I. F IL. aI s : SCi E& II LN",h@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@h," . , rL t . ii.:. . z . A1 : ,i :Z N :1 C a n i a L LL D y M A . . g A. . W. E . iS:. 5 ,. 1. I E . W . . . Y: a. HN I ::rLI -3t 1 FN. I --r-- . : L LEZ . S 2Y. fs `:.: A L l . :R : : ]. . E g (IL. E L5 :W .1 I 1 I .; g ... L' .n sh = `7. 5 .L -i 2 Lt ",e@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@e,. A. g 5L==x=--x-. -L LL-- i : =e LsTRE COPACT. 135 tha, means of living in 
 you will but sign a," compaet witl me,'' A", compact with me.” “
 into his@ bosom. “I,E COPACT. 137 e I,t is too late@!”@ cr
"se some moments ago,", 138 AURIOL., telling them that t
"ugh the door, when a", 140 ABIOL., mocking laugh arres
 in the morning.”@ “,RBESOLTION. 141 4 ,How am I to account 
ng as that produced ,142 AURIOL. ,"by opium, presently "
that Miss Talbot was, 144 AUnIOL., at home. Both she a
 the house in Saint ,EDITR TALBOT. 145 ,"James’s Square, whic"
Her features were re,1406 AIOL. ,"gular, and her eyes,"
pted by the entrance,s EDITR TALBOT. 147," of Mr. Talbot, who "
o more apprehensions," I'"" 2 -----148 AUBIOL",.” “Apprehensions of
 Mr. Talbot at his@ ,EDITB TALBOT. 149 ,lawyer’s in Lincoln’
ling with rapture. “,"=e==---e======--==--x----==-e =nLL O a , , h i9 a T iII 1 , 111 2 1 11 g ] 1 1 xL 1 -sI ee.] 3l. I -- I I1 A l if i.. 3 Ii-' ' Z 1 1Aie, 3 -------l-----I- --` 1 31 L,: I r'1. I 5. Ls . rZ; A al. EIi ey1 5 .t l ' -. -. 1 . Ah :. 1 yW p eg s2 nc -Y 2s LE al 1Mll g NA .I . . x;IL LA, E 1t/WU J .3 -i g-Ls .1 L-1 -T -..G ie: s' . IA [..- II1 I I] .' -. .-h ..-- r-. rI vW At ..:' a. . . 1 N ]- (N 1 / 1. 1L3. t.I, 1 A,Ce :.H. m5 -,E -'. Lsc. TIIE SEENTH NIGT. 151 ","Quite so,”@ she repl"
"ostillions, plunging",] TEE BEYER NIGRT. 1sa, spurs into their ho
ng at the lower end ,rHRE OELL. 155i ,"with tapestry, repre"
"ks. “Keep quiet, and", --L 156 AIOL., no harm will befall
ral chambers opened., rEE CELL. 1sI1, Advancing a few pac
. Don’t disturb your,TRE ENOHIANTED CIIAIRB. 161 ,"self, sir. Ve’ll onl"
"andman. “@Sit down, ",- 12 AURIO. ,and vait a bit. I de
"s,”@ replied Ginger,", 2 161 ACIOL.," laughing, “@@but I’"
e to see the rascal ,TEE ENCHANTED CHAIR8. 165 ,hanged! I shall pa@y
rotected.”@ “@@@@@I’,TED CRAIRS. 16z tt ,m quite satisfied vi
et free. The chairs ,168 AUnIOL. ,seemed nailed to the
ly expected the same,"] ----LL I ii----iiaeies 1. 1 3: e IIre sr: -====t' c F 1 .3 s 1 t aFh 1T a 7. i A IlI s. 1I --- hl. I . FL W g .LA s --73 1 a+ 3 5 )5. :--=ak------' -t.. a . i: .a' ki ) -+ L. T I :J a. .A f i-e=4 -eee :Y. I' . . A lI[ At. .-l .------31.. I3 I4 x2 :3 aa57 A7 -.-.:I::1 Cha:I. I x::: = .l E. =1 = -l L ve them to their fate,'' replied Old Parr. at'll neer do,'' cried Ginger. Ve're all in the nl must row out together the best ay e can. t it is, enerable,'' he ndded, seizing him by .-'` your master may be the doevil, but yon're 1 if you don't help me to deliver my companions, your windpipe for you.'' not the way to induce me to help you,'' snid Ol1 ag himself like an eel out of the otler's gripe. be angry,'' cried Ginger, seeing the mistake le itel, and trying to conciliate him; ` I only meant you a bit. Can you tell me if Mr. Auriol Darcy : is, and a close prisoner,'' repliel Old Parr. e girl-Miss Ebber, wot of her2'' 2xss.. y,'' rejoined Old Parr. :I can only speak to ""s dea1'' cried Ginger, with n look of horror. eeret,'' replied thc dwarf, mysteriously; '`nn n terrible oath not to disclose it,'' it out of you notvithstandin','' muttered -. ih seoa oua ina a hos o tus m e -. t is to become of the others 2'' demanded --.,t, if yon can.'' -n TiE ENCIIANTED CAIR8S. 171 . I can't help thinkin' I'e got a terrible L nare.'' o6 L --TE ENCIANTEn CHAIR8, 169", doom as his compani
and get you out.”@ “,E ENCIIAMTED CAI,Bu@@@@@@@@t wot is t
her terrible trial. ,174 ARIon. ,Bewildered with terr
yond your reach.”@ “,ERARD PASTO. 175 ,"Not@ so, not so!”@ c"
d your daughter.”@ “,76 AUnIOL. 1 ,You@!” exclaimed the
r his countenance. “,ERARD PA8TON. 177 e ,"I, Gerard Paston@!”@"
hant despairingly. “, 2 180 ARIOL. 4 ,No—she may yet be sa
 when the pursuers c,EE PIT. 181 e,"ame up, and dashed t"
 little fellow was c,i 184 ARIoL. e,arried off. Left to 
 breathlessly. “Have, LILLLLLLLLLLLLLLLLLLLLLLLLLmLLLLLLLLLLLL TIE PIT. 185], you found my daught
"r before mentioned, ",2------- NEW PEBPLEYITIES. -187 ,and was approached b
xamined himself from, 188 ARIOL., head to foot. He fo
g all this while.” “,W PEPLEXINIES. 189 ,The scheme works to 
am mad@—clean mad@!”, LLLLLLLLLLLLLLLLLL 190 AcIOL., There was another p
"fancies,”@ rejoined ",--NEW EnPLEYITIES. 191 ,Rougemont. “I though
"ble, you shall again", 1191 AURIOL., go forth into the w
@t with th@@@@@@@@@e," E . . i : 2.: a i x is. z7x G Y. y-1. .:A .e E2 a 7 ti -: zg E :. sC'. I I 3. 1 1 :,A A IY ' c ' ( t NHI . i i. k ra : : .,:' i s AJ G' h F A F f r ,a . : A .- : :, z. L L 1I1: r, 2. ,. iaki i7 t. A 1. :. eIR A I s 3E LA :s . , a gs--;a-. : e L : ge5 LL ----..,.. 3 L. e. E L 1 AGE . . tLe e --G e I -i E i 5--DR. LAMB AGAIN. 193", full intent to stri
”@ cried Rougemont@ ,----194 AURIOI. ,"fiercely. “Nay, then"
"eeded, he thought he", DRB. LAMB AGAN. 195, heard stealthy foot
e under the river@?”,' DB. LAMB AGAN. 197, rejoined the dwarf;
"ntered the chamber, ",7'.-. DR. LAMB AGAIN. 199 ,and the features bec
"e, and you have seen", 200 AUIOD., me before. It would
"mself, also, that he", --7 01 DRB. AB AOAIN., could distinguish t
